station_id,station_name,station_number,full_station_name,station_type,latitude,longitude,status,county_name,sample_code,sample_date,sample_depth,sample_depth_units,anl_data_type,parameter,fdr_result,fdr_text_result,fdr_date_result,fdr_reporting_limit,uns_name,mth_name,fdr_footnote
3741,SISQUOC R NR GAREY  ,D6210000,SISQUOC R NR GAREY  ,Surface Water,34.85280000,-120.19930000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922756,1985-02-12 10:50:00,,Feet,,DissolvedOxygen,12.80000000,*See Units Note,,0.20000000,mg/L,EPA 360.2 (Field),
3741,SISQUOC R NR GAREY  ,D6210000,SISQUOC R NR GAREY  ,Surface Water,34.85280000,-120.19930000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922756,1985-02-12 10:50:00,,Feet,,WaterTemperature,66.00000000,,,0.10000000,°F,EPA 170.1 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922757,1958-10-17 10:00:00,,Feet,,DissolvedOxygen,9.80000000,*See Units Note,,0.20000000,mg/L,EPA 360.2 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922757,1958-10-17 10:00:00,,Feet,,WaterTemperature,72.00000000,,,0.10000000,°F,EPA 170.1 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922758,1958-11-13 13:35:00,,Feet,,DissolvedOxygen,7.00000000,*See Units Note,,0.20000000,mg/L,EPA 360.2 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922758,1958-11-13 13:35:00,,Feet,,WaterTemperature,65.00000000,,,0.10000000,°F,EPA 170.1 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922759,1958-12-11 14:15:00,,Feet,,DissolvedOxygen,14.20000000,*See Units Note,,0.20000000,mg/L,EPA 360.2 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922759,1958-12-11 14:15:00,,Feet,,WaterTemperature,66.00000000,,,0.10000000,°F,EPA 170.1 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922760,1959-01-15 10:00:00,,Feet,,DissolvedOxygen,13.00000000,*See Units Note,,0.20000000,mg/L,EPA 360.2 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922760,1959-01-15 10:00:00,,Feet,,WaterTemperature,54.00000000,,,0.10000000,°F,EPA 170.1 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922761,1959-02-05 13:15:00,,Feet,,DissolvedOxygen,9.80000000,*See Units Note,,0.20000000,mg/L,EPA 360.2 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922761,1959-02-05 13:15:00,,Feet,,WaterTemperature,62.00000000,,,0.10000000,°F,EPA 170.1 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922762,1959-03-12 11:30:00,,Feet,,DissolvedOxygen,10.40000000,*See Units Note,,0.20000000,mg/L,EPA 360.2 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922762,1959-03-12 11:30:00,,Feet,,WaterTemperature,62.00000000,,,0.10000000,°F,EPA 170.1 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922763,1959-04-09 13:10:00,,Feet,,DissolvedOxygen,11.00000000,*See Units Note,,0.20000000,mg/L,EPA 360.2 (Field),
3742,CUYAMA R BL TWITCHEL,D6305000,CUYAMA R BL TWITCHELL DM         ,Surface Water,34.94500000,-120.29270000,"Public, Review Status Unknown",Santa Barbara,WDIS_0922763,1959-04-09 13:10:00,,Feet,,WaterTemperature,73.00000000,,,0.10000000,°F,EPA 170.1 (Field),
